app,date,mb
MINECRAFT,Oct 2016,0
MINECRAFT,Nov 2016,0
MINECRAFT,Dec 2016,10.59
MINECRAFT,Jan 2017,9.34
MINECRAFT,Feb 2017,2.96
MINECRAFT,Mar 2017,0
MINECRAFT,Apr 2017,0
MINECRAFT,May 2017,0
MINECRAFT,Jun 2017,0
MINECRAFT,Jul 2017,0
MINECRAFT,Aug 2017,0
MINECRAFT,Sep 2017,0
POKEMON GO,Sep 2016,134
POKEMON GO,Oct 2016,128
POKEMON GO,Nov 2016,64
POKEMON GO,Dec 2016,47
POKEMON GO,Jan 2017,5.83
POKEMON GO,Feb 2017,0
POKEMON GO,Mar 2017,0
POKEMON GO,Apr 2017,0
POKEMON GO,May 2017,0
POKEMON GO,Jun 2017,0
POKEMON GO,Jul 2017,0
POKEMON GO,Aug 2017,0
POKEMON GO,Sep 2017,0
BAKERY STORY,Sep 2016,0
BAKERY STORY,Oct 2016,0
BAKERY STORY,Nov 2016,0
BAKERY STORY,Dec 2016,14.57
BAKERY STORY,Jan 2017,0
BAKERY STORY,Feb 2017,0
BAKERY STORY,Mar 2017,0
BAKERY STORY,Apr 2017,0
BAKERY STORY,May 2017,0
BAKERY STORY,Jun 2017,0
BAKERY STORY,Jul 2017,0
BAKERY STORY,Aug 2017,0
BAKERY STORY,Sep 2017,0
DRAGON CITY,Sep 2016,2.87
DRAGON CITY,Oct 2016,8.09
DRAGON CITY,Nov 2016,3.26
DRAGON CITY,Dec 2016,0
DRAGON CITY,Jan 2017,0
DRAGON CITY,Feb 2017,0
DRAGON CITY,Mar 2017,0
DRAGON CITY,Apr 2017,0
DRAGON CITY,May 2017,0
DRAGON CITY,Jun 2017,0
DRAGON CITY,Jul 2017,0
DRAGON CITY,Aug 2017,0
DRAGON CITY,Sep 2017,0
FIRE-EMBLEM HEROES,Sep 2016,0
FIRE-EMBLEM HEROES,Oct 2016,0
FIRE-EMBLEM HEROES,Nov 2016,0
FIRE-EMBLEM HEROES,Dec 2016,0
FIRE-EMBLEM HEROES,Jan 2017,0
FIRE-EMBLEM HEROES,Feb 2017,0
FIRE-EMBLEM HEROES,Mar 2017,0
FIRE-EMBLEM HEROES,Apr 2017,0
FIRE-EMBLEM HEROES,May 2017,0
FIRE-EMBLEM HEROES,Jun 2017,10
FIRE-EMBLEM HEROES,Jul 2017,8.4
FIRE-EMBLEM HEROES,Aug 2017,3.2
FIRE-EMBLEM HEROES,Sep 2017,0
THE SIMS,Sep 2016,0.05
THE SIMS,Oct 2016,0.028
THE SIMS,Nov 2016,0
THE SIMS,Dec 2016,0
THE SIMS,Jan 2017,0
THE SIMS,Feb 2017,0
THE SIMS,Mar 2017,0
THE SIMS,Apr 2017,0
THE SIMS,May 2017,0
THE SIMS,Jun 2017,0
THE SIMS,Jul 2017,0
THE SIMS,Aug 2017,0
THE SIMS,Sep 2017,0
LEGENDARY CASTLE,Sep 2016,0
LEGENDARY CASTLE,Oct 2016,0
LEGENDARY CASTLE,Nov 2016,0
LEGENDARY CASTLE,Dec 2016,0
LEGENDARY CASTLE,Jan 2017,0
LEGENDARY CASTLE,Feb 2017,0
LEGENDARY CASTLE,Mar 2017,0
LEGENDARY CASTLE,Apr 2017,23
LEGENDARY CASTLE,May 2017,10.8
LEGENDARY CASTLE,Jun 2017,18
LEGENDARY CASTLE,Jul 2017,20.6
LEGENDARY CASTLE,Aug 2017,6.7
LEGENDARY CASTLE,Sep 2017,0
FITSUM,Sep 2016,0
FITSUM,Oct 2016,0
FITSUM,Nov 2016,0
FITSUM,Dec 2016,0
FITSUM,Jan 2017,2.34
FITSUM,Feb 2017,3.6
FITSUM,Mar 2017,1.8
FITSUM,Apr 2017,1.4
FITSUM,May 2017,1.98
FITSUM,Jun 2017,2.22
FITSUM,Jul 2017,1.87
FITSUM,Aug 2017,1.66
FITSUM,Sep 2017,3.02
FITBIT,Sep 2016,8
FITBIT,Oct 2016,12
FITBIT,Nov 2016,10
FITBIT,Dec 2016,9.2
FITBIT,Jan 2017,6.3
FITBIT,Feb 2017,4.1
FITBIT,Mar 2017,6.4
FITBIT,Apr 2017,8
FITBIT,May 2017,7
FITBIT,Jun 2017,7.2
FITBIT,Jul 2017,6
FITBIT,Aug 2017,8.23
FITBIT,Sep 2017,1
PERIOD DIARY,Sep 2016,0.02
PERIOD DIARY,Oct 2016,0.01
PERIOD DIARY,Nov 2016,0.012
PERIOD DIARY,Dec 2016,0.018
PERIOD DIARY,Jan 2017,0.028
PERIOD DIARY,Feb 2017,0.016
PERIOD DIARY,Mar 2017,0.04
PERIOD DIARY,Apr 2017,0.02
PERIOD DIARY,May 2017,0.01
PERIOD DIARY,Jun 2017,0.01
PERIOD DIARY,Jul 2017,0.032
PERIOD DIARY,Aug 2017,0.021
PERIOD DIARY,Sep 2017,0.027
H AND M,Sep 2016,0
H AND M,Oct 2016,0
H AND M,Nov 2016,0
H AND M,Dec 2016,0
H AND M,Jan 2017,0
H AND M,Feb 2017,0
H AND M,Mar 2017,0
H AND M,Apr 2017,0
H AND M,May 2017,0
H AND M,Jun 2017,0
H AND M,Jul 2017,0.02
H AND M,Aug 2017,0.021
H AND M,Sep 2017,0
ZARA,Sep 2016,0.02
ZARA,Oct 2016,0
ZARA,Nov 2016,0
ZARA,Dec 2016,0
ZARA,Jan 2017,0
ZARA,Feb 2017,0
ZARA,Mar 2017,0
ZARA,Apr 2017,0
ZARA,May 2017,0
ZARA,Jun 2017,0
ZARA,Jul 2017,0.013
ZARA,Aug 2017,0.03
ZARA,Sep 2017,0
SHOPPERS DRUG MART,Sep 2016,0.18
SHOPPERS DRUG MART,Oct 2016,0.07
SHOPPERS DRUG MART,Nov 2016,0.03
SHOPPERS DRUG MART,Dec 2016,0
SHOPPERS DRUG MART,Jan 2017,0
SHOPPERS DRUG MART,Feb 2017,0
SHOPPERS DRUG MART,Mar 2017,0
SHOPPERS DRUG MART,Apr 2017,0
SHOPPERS DRUG MART,May 2017,0
SHOPPERS DRUG MART,Jun 2017,0
SHOPPERS DRUG MART,Jul 2017,0
SHOPPERS DRUG MART,Aug 2017,0
SHOPPERS DRUG MART,Sep 2017,0
MICHAELS,Sep 2016,0
MICHAELS,Oct 2016,0
MICHAELS,Nov 2016,0
MICHAELS,Dec 2016,0
MICHAELS,Jan 2017,0
MICHAELS,Feb 2017,0
MICHAELS,Mar 2017,0
MICHAELS,Apr 2017,0
MICHAELS,May 2017,0.23
MICHAELS,Jun 2017,0.18
MICHAELS,Jul 2017,0.1
MICHAELS,Aug 2017,0
MICHAELS,Sep 2017,0
IKEA CATALOGUE,Sep 2016,0.3
IKEA CATALOGUE,Oct 2016,0.18
IKEA CATALOGUE,Nov 2016,0
IKEA CATALOGUE,Dec 2016,0
IKEA CATALOGUE,Jan 2017,0
IKEA CATALOGUE,Feb 2017,0
IKEA CATALOGUE,Mar 2017,0
IKEA CATALOGUE,Apr 2017,0
IKEA CATALOGUE,May 2017,0
IKEA CATALOGUE,Jun 2017,0
IKEA CATALOGUE,Jul 2017,0
IKEA CATALOGUE,Aug 2017,0
IKEA CATALOGUE,Sep 2017,0
GROUPON,Sep 2016,0
GROUPON,Oct 2016,0
GROUPON,Nov 2016,0
GROUPON,Dec 2016,0
GROUPON,Jan 2017,0
GROUPON,Feb 2017,0
GROUPON,Mar 2017,0
GROUPON,Apr 2017,0
GROUPON,May 2017,0
GROUPON,Jun 2017,0
GROUPON,Jul 2017,0
GROUPON,Aug 2017,12
GROUPON,Sep 2017,8
SPC CARD,Sep 2016,0
SPC CARD,Oct 2016,0
SPC CARD,Nov 2016,0
SPC CARD,Dec 2016,0
SPC CARD,Jan 2017,0.2
SPC CARD,Feb 2017,0.17
SPC CARD,Mar 2017,0.09
SPC CARD,Apr 2017,0.3
SPC CARD,May 2017,0.045
SPC CARD,Jun 2017,0.089
SPC CARD,Jul 2017,0.12
SPC CARD,Aug 2017,0.1
SPC CARD,Sep 2017,0.14
SPOTIFY,Sep 2016,0
SPOTIFY,Oct 2016,0
SPOTIFY,Nov 2016,0
SPOTIFY,Dec 2016,0
SPOTIFY,Jan 2017,0
SPOTIFY,Feb 2017,0
SPOTIFY,Mar 2017,0
SPOTIFY,Apr 2017,0
SPOTIFY,May 2017,0
SPOTIFY,Jun 2017,16
SPOTIFY,Jul 2017,0.34
SPOTIFY,Aug 2017,0.82
